Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.1, 2020-2039, canesm2, Annual Anomaly, FRO
-0.05, 2020-2039, cesm1_cam5, Annual Anomaly, FRO
-0.05, 2020-2039, cnrm_cm5, Annual Anomaly, FRO
-0.05, 2020-2039, gfdl_cm3, Annual Anomaly, FRO
-0.05, 2020-2039, gfdl_esm2m, Annual Anomaly, FRO
0.15, 2020-2039, inmcm4, Annual Anomaly, FRO
0.05, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, FRO
-0.05, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, FRO
0.05, 2020-2039, miroc5, Annual Anomaly, FRO
-0.05, 2020-2039, miroc_esm, Annual Anomaly, FRO
0.1, 2020-2039, mpi_esm_mr, Annual Anomaly, FRO
0.1, 2020-2039, mri_cgcm3, Annual Anomaly, FRO
0.05, 2020-2039, noresm1_m, Annual Anomaly, FRO
0.19402, 2020-2039, access1_3, Annual Anomaly, FSM
0.11697, 2020-2039, bcc_csm1_1_m, Annual Anomaly, FSM
-0.0834, 2020-2039, bcc_csm1_1, Annual Anomaly, FSM
0.07704, 2020-2039, bnu_esm, Annual Anomaly, FSM
0.04701, 2020-2039, canesm2, Annual Anomaly, FSM
-0.0529, 2020-2039, ccsm4, Annual Anomaly, FSM
0.06996, 2020-2039, cesm1_bgc, Annual Anomaly, FSM
0.01996, 2020-2039, cnrm_cm5, Annual Anomaly, FSM
-0.0304, 2020-2039, csiro_mk3_6_0, Annual Anomaly, FSM
0.25879, 2020-2039, gfdl_cm3, Annual Anomaly, FSM
0.10455, 2020-2039, gfdl_esm2g, Annual Anomaly, FSM
-0.0364, 2020-2039, gfdl_esm2m, Annual Anomaly, FSM
0.01996, 2020-2039, inmcm4, Annual Anomaly, FSM
0.00754, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, FSM
-0.0575, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, FSM
0.03647, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, FSM
-0.0105, 2020-2039, miroc_esm_chem, Annual Anomaly, FSM
0.05942, 2020-2039, miroc_esm, Annual Anomaly, FSM
-0.0394, 2020-2039, mpi_esm_mr, Annual Anomaly, FSM
0.16808, 2020-2039, mri_cgcm3, Annual Anomaly, FSM
0.03946, 2020-2039, noresm1_m, Annual Anomaly, FSM
0.3, 2020-2039, bcc_csm1_1_m, Annual Anomaly, FJI
0.05, 2020-2039, bcc_csm1_1, Annual Anomaly, FJI
0.15, 2020-2039, bnu_esm, Annual Anomaly, FJI
-0.05, 2020-2039, ccsm4, Annual Anomaly, FJI
0.2, 2020-2039, cesm1_bgc, Annual Anomaly, FJI
0.2, 2020-2039, cesm1_cam5, Annual Anomaly, FJI
0.15, 2020-2039, cnrm_cm5, Annual Anomaly, FJI
0.1, 2020-2039, csiro_mk3_6_0, Annual Anomaly, FJI
0.05, 2020-2039, gfdl_cm3, Annual Anomaly, FJI
0.05, 2020-2039, gfdl_esm2g, Annual Anomaly, FJI
0.1, 2020-2039, inmcm4, Annual Anomaly, FJI
0.1, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, FJI
0.1, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, FJI
0.1, 2020-2039, miroc5, Annual Anomaly, FJI
0.6, 2020-2039, miroc_esm_chem, Annual Anomaly, FJI
0.5, 2020-2039, miroc_esm, Annual Anomaly, FJI
-0.1, 2020-2039, mpi_esm_mr, Annual Anomaly, FJI
0.05, 2020-2039, mri_cgcm3, Annual Anomaly, FJI
0.07645, 2020-2039, access1_3, Annual Anomaly, FIN
0.07965, 2020-2039, bcc_csm1_1_m, Annual Anomaly, FIN
0.03474, 2020-2039, bcc_csm1_1, Annual Anomaly, FIN
0.14301, 2020-2039, bnu_esm, Annual Anomaly, FIN
-0.0174, 2020-2039, canesm2, Annual Anomaly, FIN
0.05693, 2020-2039, ccsm4, Annual Anomaly, FIN
0.08031, 2020-2039, cesm1_bgc, Annual Anomaly, FIN
0.12383, 2020-2039, cesm1_cam5, Annual Anomaly, FIN
0.06845, 2020-2039, cnrm_cm5, Annual Anomaly, FIN
-0.0029, 2020-2039, csiro_mk3_6_0, Annual Anomaly, FIN
-0.04, 2020-2039, gfdl_cm3, Annual Anomaly, FIN
0.06754, 2020-2039, gfdl_esm2g, Annual Anomaly, FIN
-0.0447, 2020-2039, gfdl_esm2m, Annual Anomaly, FIN
0.05895, 2020-2039, inmcm4, Annual Anomaly, FIN
0.26327, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, FIN
0.23068, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, FIN
0.06181, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, FIN
0.05767, 2020-2039, miroc5, Annual Anomaly, FIN
0.00716, 2020-2039, miroc_esm_chem, Annual Anomaly, FIN
0.05959, 2020-2039, miroc_esm, Annual Anomaly, FIN
0.14499, 2020-2039, mpi_esm_mr, Annual Anomaly, FIN
-0.073, 2020-2039, mri_cgcm3, Annual Anomaly, FIN
0.32256, 2020-2039, noresm1_m, Annual Anomaly, FIN
0.1937, 2020-2039, access1_3, Annual Anomaly, FRA
0.27194, 2020-2039, bcc_csm1_1_m, Annual Anomaly, FRA
0.16815, 2020-2039, bcc_csm1_1, Annual Anomaly, FRA
0.10736, 2020-2039, bnu_esm, Annual Anomaly, FRA
0.05178, 2020-2039, canesm2, Annual Anomaly, FRA
0.23435, 2020-2039, ccsm4, Annual Anomaly, FRA
0.3985, 2020-2039, cesm1_bgc, Annual Anomaly, FRA
0.29583, 2020-2039, cesm1_cam5, Annual Anomaly, FRA
0.17422, 2020-2039, cnrm_cm5, Annual Anomaly, FRA
0.13369, 2020-2039, csiro_mk3_6_0, Annual Anomaly, FRA
0.47154, 2020-2039, gfdl_cm3, Annual Anomaly, FRA
0.25531, 2020-2039, gfdl_esm2g, Annual Anomaly, FRA
0.0947, 2020-2039, gfdl_esm2m, Annual Anomaly, FRA
0.17826, 2020-2039, inmcm4, Annual Anomaly, FRA
0.13714, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, FRA
0.13314, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, FRA
0.03242, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, FRA
0.11887, 2020-2039, miroc5, Annual Anomaly, FRA
0.26464, 2020-2039, miroc_esm_chem, Annual Anomaly, FRA
0.42525, 2020-2039, miroc_esm, Annual Anomaly, FRA
0.26558, 2020-2039, mpi_esm_mr, Annual Anomaly, FRA
0.0094, 2020-2039, mri_cgcm3, Annual Anomaly, FRA
0.1537, 2020-2039, noresm1_m, Annual Anomaly, FRA
-0.0192, 2020-2039, access1_3, Annual Anomaly, GAB
0.10392, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GAB
0.152, 2020-2039, bcc_csm1_1, Annual Anomaly, GAB
0.10391, 2020-2039, bnu_esm, Annual Anomaly, GAB
0.14059, 2020-2039, canesm2, Annual Anomaly, GAB
0.06308, 2020-2039, ccsm4, Annual Anomaly, GAB
0.04821, 2020-2039, cesm1_bgc, Annual Anomaly, GAB
0.01114, 2020-2039, cesm1_cam5, Annual Anomaly, GAB
7.9E-4, 2020-2039, cnrm_cm5, Annual Anomaly, GAB
0.03908, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GAB
0.00614, 2020-2039, gfdl_cm3, Annual Anomaly, GAB
0.06963, 2020-2039, gfdl_esm2g, Annual Anomaly, GAB
0.0125, 2020-2039, gfdl_esm2m, Annual Anomaly, GAB
0.24983, 2020-2039, inmcm4, Annual Anomaly, GAB
0.05881, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GAB
-0.0212, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GAB
-0.0957, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GAB
0.04549, 2020-2039, miroc5, Annual Anomaly, GAB
0.01799, 2020-2039, miroc_esm_chem, Annual Anomaly, GAB
-0.0179, 2020-2039, miroc_esm, Annual Anomaly, GAB
0.05448, 2020-2039, mpi_esm_mr, Annual Anomaly, GAB
0.02232, 2020-2039, mri_cgcm3, Annual Anomaly, GAB
0.11627, 2020-2039, noresm1_m, Annual Anomaly, GAB
0.07905, 2020-2039, access1_3, Annual Anomaly, GMB
0.26729, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GMB
0.10529, 2020-2039, bcc_csm1_1, Annual Anomaly, GMB
0.04273, 2020-2039, bnu_esm, Annual Anomaly, GMB
0.3855, 2020-2039, canesm2, Annual Anomaly, GMB
0.37129, 2020-2039, ccsm4, Annual Anomaly, GMB
-0.0599, 2020-2039, cesm1_bgc, Annual Anomaly, GMB
0.10514, 2020-2039, cesm1_cam5, Annual Anomaly, GMB
0.17154, 2020-2039, cnrm_cm5, Annual Anomaly, GMB
0.15899, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GMB
0.15144, 2020-2039, gfdl_cm3, Annual Anomaly, GMB
-0.0636, 2020-2039, gfdl_esm2g, Annual Anomaly, GMB
0.0998, 2020-2039, gfdl_esm2m, Annual Anomaly, GMB
-0.0287, 2020-2039, inmcm4, Annual Anomaly, GMB
0.35445, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GMB
0.49968, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GMB
0.1293, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GMB
0.13518, 2020-2039, miroc5, Annual Anomaly, GMB
-0.0456, 2020-2039, miroc_esm_chem, Annual Anomaly, GMB
0.07478, 2020-2039, miroc_esm, Annual Anomaly, GMB
0.35978, 2020-2039, mpi_esm_mr, Annual Anomaly, GMB
0.50602, 2020-2039, mri_cgcm3, Annual Anomaly, GMB
0.48437, 2020-2039, noresm1_m, Annual Anomaly, GMB
-0.0157, 2020-2039, access1_3, Annual Anomaly, GEO
0.17704, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GEO
0.63643, 2020-2039, bcc_csm1_1, Annual Anomaly, GEO
0.29546, 2020-2039, bnu_esm, Annual Anomaly, GEO
0.25249, 2020-2039, canesm2, Annual Anomaly, GEO
0.34229, 2020-2039, ccsm4, Annual Anomaly, GEO
0.27975, 2020-2039, cesm1_bgc, Annual Anomaly, GEO
0.06135, 2020-2039, cesm1_cam5, Annual Anomaly, GEO
-0.033, 2020-2039, cnrm_cm5, Annual Anomaly, GEO
0.07265, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GEO
0.16862, 2020-2039, gfdl_cm3, Annual Anomaly, GEO
0.09553, 2020-2039, gfdl_esm2g, Annual Anomaly, GEO
0.1422, 2020-2039, gfdl_esm2m, Annual Anomaly, GEO
0.33872, 2020-2039, inmcm4, Annual Anomaly, GEO
0.00957, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GEO
0.09812, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GEO
0.22705, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GEO
0.06362, 2020-2039, miroc5, Annual Anomaly, GEO
0.31029, 2020-2039, miroc_esm_chem, Annual Anomaly, GEO
0.14095, 2020-2039, miroc_esm, Annual Anomaly, GEO
0.17447, 2020-2039, mpi_esm_mr, Annual Anomaly, GEO
0.08047, 2020-2039, mri_cgcm3, Annual Anomaly, GEO
0.01924, 2020-2039, noresm1_m, Annual Anomaly, GEO
0.17662, 2020-2039, access1_3, Annual Anomaly, DEU
0.08149, 2020-2039, bcc_csm1_1_m, Annual Anomaly, DEU
0.12859, 2020-2039, bcc_csm1_1, Annual Anomaly, DEU
0.12327, 2020-2039, bnu_esm, Annual Anomaly, DEU
0.13441, 2020-2039, canesm2, Annual Anomaly, DEU
0.29033, 2020-2039, ccsm4, Annual Anomaly, DEU
0.34456, 2020-2039, cesm1_bgc, Annual Anomaly, DEU
0.1521, 2020-2039, cesm1_cam5, Annual Anomaly, DEU
0.09328, 2020-2039, cnrm_cm5, Annual Anomaly, DEU
0.0036, 2020-2039, csiro_mk3_6_0, Annual Anomaly, DEU
0.02716, 2020-2039, gfdl_cm3, Annual Anomaly, DEU
0.09152, 2020-2039, gfdl_esm2g, Annual Anomaly, DEU
0.02606, 2020-2039, gfdl_esm2m, Annual Anomaly, DEU
0.13196, 2020-2039, inmcm4, Annual Anomaly, DEU
0.06521, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, DEU
0.15425, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, DEU
0.01663, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, DEU
7.1E-4, 2020-2039, miroc5, Annual Anomaly, DEU
-0.03, 2020-2039, miroc_esm_chem, Annual Anomaly, DEU
0.13522, 2020-2039, miroc_esm, Annual Anomaly, DEU
0.15223, 2020-2039, mpi_esm_mr, Annual Anomaly, DEU
0.11976, 2020-2039, mri_cgcm3, Annual Anomaly, DEU
0.06685, 2020-2039, noresm1_m, Annual Anomaly, DEU
0.09784, 2020-2039, access1_3, Annual Anomaly, GHA
0.21146, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GHA
0.16831, 2020-2039, bcc_csm1_1, Annual Anomaly, GHA
0.10636, 2020-2039, bnu_esm, Annual Anomaly, GHA
0.17963, 2020-2039, canesm2, Annual Anomaly, GHA
0.06514, 2020-2039, ccsm4, Annual Anomaly, GHA
0.08955, 2020-2039, cesm1_bgc, Annual Anomaly, GHA
0.14005, 2020-2039, cesm1_cam5, Annual Anomaly, GHA
0.12015, 2020-2039, cnrm_cm5, Annual Anomaly, GHA
0.13077, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GHA
-0.0852, 2020-2039, gfdl_cm3, Annual Anomaly, GHA
0.04943, 2020-2039, gfdl_esm2g, Annual Anomaly, GHA
-4.0E-4, 2020-2039, gfdl_esm2m, Annual Anomaly, GHA
0.25276, 2020-2039, inmcm4, Annual Anomaly, GHA
0.21338, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GHA
0.41562, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GHA
0.00575, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GHA
0.11457, 2020-2039, miroc5, Annual Anomaly, GHA
0.00963, 2020-2039, miroc_esm_chem, Annual Anomaly, GHA
0.29985, 2020-2039, miroc_esm, Annual Anomaly, GHA
0.11504, 2020-2039, mpi_esm_mr, Annual Anomaly, GHA
0.09599, 2020-2039, mri_cgcm3, Annual Anomaly, GHA
0.1765, 2020-2039, noresm1_m, Annual Anomaly, GHA
0.27999, 2020-2039, access1_3, Annual Anomaly, GRC
0.25245, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GRC
0.06929, 2020-2039, bcc_csm1_1, Annual Anomaly, GRC
0.24862, 2020-2039, bnu_esm, Annual Anomaly, GRC
0.25237, 2020-2039, canesm2, Annual Anomaly, GRC
0.15325, 2020-2039, ccsm4, Annual Anomaly, GRC
0.14185, 2020-2039, cesm1_bgc, Annual Anomaly, GRC
0.06064, 2020-2039, cesm1_cam5, Annual Anomaly, GRC
0.05721, 2020-2039, cnrm_cm5, Annual Anomaly, GRC
0.30015, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GRC
0.56252, 2020-2039, gfdl_cm3, Annual Anomaly, GRC
0.12375, 2020-2039, gfdl_esm2g, Annual Anomaly, GRC
0.21008, 2020-2039, gfdl_esm2m, Annual Anomaly, GRC
0.29513, 2020-2039, inmcm4, Annual Anomaly, GRC
0.09925, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GRC
0.26494, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GRC
0.12722, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GRC
0.16092, 2020-2039, miroc5, Annual Anomaly, GRC
0.37759, 2020-2039, miroc_esm_chem, Annual Anomaly, GRC
0.59651, 2020-2039, miroc_esm, Annual Anomaly, GRC
0.15306, 2020-2039, mpi_esm_mr, Annual Anomaly, GRC
0.06664, 2020-2039, mri_cgcm3, Annual Anomaly, GRC
0.1431, 2020-2039, noresm1_m, Annual Anomaly, GRC
0.09377, 2020-2039, access1_3, Annual Anomaly, GRL
0.11631, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GRL
0.14188, 2020-2039, bcc_csm1_1, Annual Anomaly, GRL
0.07863, 2020-2039, bnu_esm, Annual Anomaly, GRL
0.02972, 2020-2039, canesm2, Annual Anomaly, GRL
0.01078, 2020-2039, ccsm4, Annual Anomaly, GRL
0.03176, 2020-2039, cesm1_bgc, Annual Anomaly, GRL
0.13336, 2020-2039, cesm1_cam5, Annual Anomaly, GRL
0.06343, 2020-2039, cnrm_cm5, Annual Anomaly, GRL
0.07055, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GRL
0.10286, 2020-2039, gfdl_cm3, Annual Anomaly, GRL
0.08727, 2020-2039, gfdl_esm2g, Annual Anomaly, GRL
0.19309, 2020-2039, gfdl_esm2m, Annual Anomaly, GRL
0.06598, 2020-2039, inmcm4, Annual Anomaly, GRL
0.19292, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GRL
0.07951, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GRL
0.10661, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GRL
0.14957, 2020-2039, miroc5, Annual Anomaly, GRL
0.00416, 2020-2039, miroc_esm_chem, Annual Anomaly, GRL
0.04433, 2020-2039, miroc_esm, Annual Anomaly, GRL
0.08781, 2020-2039, mpi_esm_mr, Annual Anomaly, GRL
0.04743, 2020-2039, mri_cgcm3, Annual Anomaly, GRL
0.07216, 2020-2039, noresm1_m, Annual Anomaly, GRL
0.09904, 2020-2039, access1_3, Annual Anomaly, GRD
0.20354, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GRD
0.05397, 2020-2039, bcc_csm1_1, Annual Anomaly, GRD
0.29645, 2020-2039, bnu_esm, Annual Anomaly, GRD
0.2987, 2020-2039, canesm2, Annual Anomaly, GRD
0.39205, 2020-2039, ccsm4, Annual Anomaly, GRD
0.20172, 2020-2039, cesm1_bgc, Annual Anomaly, GRD
0.48764, 2020-2039, cesm1_cam5, Annual Anomaly, GRD
0.04956, 2020-2039, cnrm_cm5, Annual Anomaly, GRD
-0.0464, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GRD
0.24956, 2020-2039, gfdl_cm3, Annual Anomaly, GRD
4.3E-4, 2020-2039, gfdl_esm2g, Annual Anomaly, GRD
0.05224, 2020-2039, gfdl_esm2m, Annual Anomaly, GRD
0.65354, 2020-2039, inmcm4, Annual Anomaly, GRD
0.50181, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GRD
0.20708, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GRD
0.15354, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GRD
0.29377, 2020-2039, miroc5, Annual Anomaly, GRD
0.21684, 2020-2039, miroc_esm_chem, Annual Anomaly, GRD
0.34645, 2020-2039, miroc_esm, Annual Anomaly, GRD
0.0044, 2020-2039, mpi_esm_mr, Annual Anomaly, GRD
0.04645, 2020-2039, mri_cgcm3, Annual Anomaly, GRD
0.24913, 2020-2039, noresm1_m, Annual Anomaly, GRD
0.15121, 2020-2039, access1_3, Annual Anomaly, GTM
0.43833, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GTM
0.13134, 2020-2039, bcc_csm1_1, Annual Anomaly, GTM
0.10461, 2020-2039, bnu_esm, Annual Anomaly, GTM
0.11829, 2020-2039, canesm2, Annual Anomaly, GTM
0.35409, 2020-2039, ccsm4, Annual Anomaly, GTM
0.25194, 2020-2039, cesm1_bgc, Annual Anomaly, GTM
0.26356, 2020-2039, cesm1_cam5, Annual Anomaly, GTM
0.14167, 2020-2039, cnrm_cm5, Annual Anomaly, GTM
0.02669, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GTM
0.16136, 2020-2039, gfdl_cm3, Annual Anomaly, GTM
0.07643, 2020-2039, gfdl_esm2g, Annual Anomaly, GTM
-0.0031, 2020-2039, gfdl_esm2m, Annual Anomaly, GTM
0.55017, 2020-2039, inmcm4, Annual Anomaly, GTM
0.19455, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GTM
0.68846, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GTM
0.12559, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GTM
0.1944, 2020-2039, miroc5, Annual Anomaly, GTM
0.03391, 2020-2039, miroc_esm_chem, Annual Anomaly, GTM
0.21243, 2020-2039, miroc_esm, Annual Anomaly, GTM
-0.0505, 2020-2039, mpi_esm_mr, Annual Anomaly, GTM
0.34525, 2020-2039, mri_cgcm3, Annual Anomaly, GTM
0.34852, 2020-2039, noresm1_m, Annual Anomaly, GTM
0.24531, 2020-2039, access1_3, Annual Anomaly, GIN
0.28416, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GIN
0.10512, 2020-2039, bcc_csm1_1, Annual Anomaly, GIN
0.17782, 2020-2039, bnu_esm, Annual Anomaly, GIN
0.24602, 2020-2039, canesm2, Annual Anomaly, GIN
0.20292, 2020-2039, ccsm4, Annual Anomaly, GIN
0.23519, 2020-2039, cesm1_bgc, Annual Anomaly, GIN
0.24281, 2020-2039, cesm1_cam5, Annual Anomaly, GIN
0.15434, 2020-2039, cnrm_cm5, Annual Anomaly, GIN
0.0855, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GIN
0.02612, 2020-2039, gfdl_cm3, Annual Anomaly, GIN
0.08213, 2020-2039, gfdl_esm2g, Annual Anomaly, GIN
0.05993, 2020-2039, gfdl_esm2m, Annual Anomaly, GIN
0.3265, 2020-2039, inmcm4, Annual Anomaly, GIN
0.32662, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GIN
0.31477, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GIN
0.35775, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GIN
0.07171, 2020-2039, miroc5, Annual Anomaly, GIN
0.02327, 2020-2039, miroc_esm_chem, Annual Anomaly, GIN
0.03819, 2020-2039, miroc_esm, Annual Anomaly, GIN
0.19597, 2020-2039, mpi_esm_mr, Annual Anomaly, GIN
0.3081, 2020-2039, mri_cgcm3, Annual Anomaly, GIN
0.40767, 2020-2039, noresm1_m, Annual Anomaly, GIN
-0.0025, 2020-2039, access1_3, Annual Anomaly, GNB
0.28033, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GNB
0.07824, 2020-2039, bcc_csm1_1, Annual Anomaly, GNB
0.06147, 2020-2039, bnu_esm, Annual Anomaly, GNB
0.32107, 2020-2039, canesm2, Annual Anomaly, GNB
0.17094, 2020-2039, ccsm4, Annual Anomaly, GNB
-0.087, 2020-2039, cesm1_bgc, Annual Anomaly, GNB
0.14119, 2020-2039, cesm1_cam5, Annual Anomaly, GNB
0.15022, 2020-2039, cnrm_cm5, Annual Anomaly, GNB
0.10232, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GNB
-0.0267, 2020-2039, gfdl_cm3, Annual Anomaly, GNB
-0.0349, 2020-2039, gfdl_esm2g, Annual Anomaly, GNB
0.07994, 2020-2039, gfdl_esm2m, Annual Anomaly, GNB
0.11044, 2020-2039, inmcm4, Annual Anomaly, GNB
0.4239, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GNB
0.35928, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GNB
0.092, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GNB
-0.002, 2020-2039, miroc5, Annual Anomaly, GNB
0.0119, 2020-2039, miroc_esm_chem, Annual Anomaly, GNB
0.08593, 2020-2039, miroc_esm, Annual Anomaly, GNB
0.24619, 2020-2039, mpi_esm_mr, Annual Anomaly, GNB
0.38194, 2020-2039, mri_cgcm3, Annual Anomaly, GNB
0.57383, 2020-2039, noresm1_m, Annual Anomaly, GNB
0.35093, 2020-2039, access1_3, Annual Anomaly, GUY
0.13273, 2020-2039, bcc_csm1_1_m, Annual Anomaly, GUY
0.54978, 2020-2039, bcc_csm1_1, Annual Anomaly, GUY
0.10462, 2020-2039, bnu_esm, Annual Anomaly, GUY
0.38724, 2020-2039, canesm2, Annual Anomaly, GUY
0.2286, 2020-2039, ccsm4, Annual Anomaly, GUY
0.05293, 2020-2039, cesm1_bgc, Annual Anomaly, GUY
0.16748, 2020-2039, cesm1_cam5, Annual Anomaly, GUY
0.04311, 2020-2039, cnrm_cm5, Annual Anomaly, GUY
0.00507, 2020-2039, csiro_mk3_6_0, Annual Anomaly, GUY
0.28071, 2020-2039, gfdl_cm3, Annual Anomaly, GUY
0.30066, 2020-2039, gfdl_esm2g, Annual Anomaly, GUY
0.00514, 2020-2039, gfdl_esm2m, Annual Anomaly, GUY
0.12212, 2020-2039, inmcm4, Annual Anomaly, GUY
-0.0387, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, GUY
-0.0155, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, GUY
0.42616, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, GUY
0.25373, 2020-2039, miroc5, Annual Anomaly, GUY
0.54557, 2020-2039, miroc_esm_chem, Annual Anomaly, GUY
0.34323, 2020-2039, miroc_esm, Annual Anomaly, GUY
0.04815, 2020-2039, mpi_esm_mr, Annual Anomaly, GUY
-0.0239, 2020-2039, mri_cgcm3, Annual Anomaly, GUY
0.31987, 2020-2039, noresm1_m, Annual Anomaly, GUY
0.11001, 2020-2039, access1_3, Annual Anomaly, HTI
0.38386, 2020-2039, bcc_csm1_1_m, Annual Anomaly, HTI
0.49109, 2020-2039, bcc_csm1_1, Annual Anomaly, HTI
0.35055, 2020-2039, bnu_esm, Annual Anomaly, HTI
0.29165, 2020-2039, canesm2, Annual Anomaly, HTI
0.26279, 2020-2039, ccsm4, Annual Anomaly, HTI
0.63053, 2020-2039, cesm1_bgc, Annual Anomaly, HTI
0.15779, 2020-2039, cesm1_cam5, Annual Anomaly, HTI
0.29777, 2020-2039, cnrm_cm5, Annual Anomaly, HTI
0.005, 2020-2039, csiro_mk3_6_0, Annual Anomaly, HTI
0.15779, 2020-2039, gfdl_cm3, Annual Anomaly, HTI
0.28942, 2020-2039, gfdl_esm2g, Annual Anomaly, HTI
0.04555, 2020-2039, gfdl_esm2m, Annual Anomaly, HTI
0.09054, 2020-2039, inmcm4, Annual Anomaly, HTI
0.05166, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, HTI
0.72552, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, HTI
-0.0044, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, HTI
0.01224, 2020-2039, miroc5, Annual Anomaly, HTI
0.33108, 2020-2039, miroc_esm_chem, Annual Anomaly, HTI
0.19109, 2020-2039, miroc_esm, Annual Anomaly, HTI
0.00723, 2020-2039, mpi_esm_mr, Annual Anomaly, HTI
0.67941, 2020-2039, mri_cgcm3, Annual Anomaly, HTI
0.62552, 2020-2039, noresm1_m, Annual Anomaly, HTI
0.2972, 2020-2039, access1_3, Annual Anomaly, HND
0.33749, 2020-2039, bcc_csm1_1_m, Annual Anomaly, HND
0.06473, 2020-2039, bcc_csm1_1, Annual Anomaly, HND
0.18637, 2020-2039, bnu_esm, Annual Anomaly, HND
0.0887, 2020-2039, canesm2, Annual Anomaly, HND
0.24694, 2020-2039, ccsm4, Annual Anomaly, HND
0.25981, 2020-2039, cesm1_bgc, Annual Anomaly, HND
0.19678, 2020-2039, cesm1_cam5, Annual Anomaly, HND
0.11374, 2020-2039, cnrm_cm5, Annual Anomaly, HND
-0.0266, 2020-2039, csiro_mk3_6_0, Annual Anomaly, HND
0.26599, 2020-2039, gfdl_cm3, Annual Anomaly, HND
0.11962, 2020-2039, gfdl_esm2g, Annual Anomaly, HND
0.16271, 2020-2039, inmcm4, Annual Anomaly, HND
0.25153, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, HND
